prev_comm,prio,timeslice
surface-eDP-1,120,173863
cosmic-com:cs0,120,36149
kworker/u96:3,120,26811
surface-eDP-1,120,28004
cosmic-com:cs0,120,35057
kworker/u96:3,120,17683
surface-eDP-1,120,32402
kworker/u96:3,120,2285
kworker/u96:3,120,2274
cosmic-com:cs0,120,29025
kworker/u96:3,120,7294
surface-eDP-1,120,13506
cosmic-com:cs0,120,20520
kworker/u96:3,120,15289
surface-eDP-1,120,21512
cosmic-com:cs0,120,18346
kworker/u96:3,120,1583
surface-eDP-1,120,13355
cosmic-com:cs0,120,15890
kworker/u96:3,120,5741
kworker/u96:3,120,5351
surface-eDP-1,120,20088
kworker/u96:3,120,1893
cosmic-com:cs0,120,26370
surface-eDP-1,120,17874
cosmic-com:cs0,120,21411
kworker/u96:3,120,6462
kworker/u96:3,120,5901
surface-eDP-1,120,17994
kworker/u96:3,120,2225
cosmic-com:cs0,120,28735
surface-eDP-1,120,21572
cosmic-com:cs0,120,20209
surface-eDP-1,120,24256
cosmic-com:cs0,120,20129
surface-eDP-1,120,23946
cosmic-com:cs0,120,22382
surface-eDP-1,120,16552
cosmic-com:cs0,120,20960
surface-eDP-1,120,67810
cosmic-com:cs0,120,21311
kworker/u96:3,120,11682
surface-eDP-1,120,59504
kworker/u98:2,120,15008
kworker/u96:3,120,11753
kworker/u96:3,120,6071
kworker/u96:3,120,6933
kworker/u96:3,120,2625
kworker/u96:3,120,2565
kworker/u98:2,120,99270
WebRTC_W_and_N,120,114980
WebRTC_W_and_N,120,119078
kworker/u98:2,120,6293
cosmic-comp,120,32091
surface-HDMI-A-,120,13496
surface-eDP-1,120,31380
kworker/u97:0,120,7855
cosmic-comp,120,16562
surface-HDMI-A-,120,53533
